# ICD-10-CM FY2026 billable codes — sources: https://ftp.cdc.gov/pub/health_statistics/nchs/publications/ICD10CM/2026/icd10cm-Code%20Descriptions-2026.zip ; https://ftp.cdc.gov/pub/health_statistics/nchs/publications/ICD10CM/2026/icd10cm-Table%20and%20Index-2026.zip
# 74719 codes (9095 with inclusion terms, 13000 with index terms). Columns: code, description, inclusion terms, index terms. Regenerate with scripts/build_reference.py
A01.1	Paratyphoid fever A		Fever(inanition) (of unknown origin) (persistent) (with chills) (with rigor) paratyphoid A | Infection, infected, infective(opportunistic) Bacillus paratyphoid, paratyphosus A | Infection, infected, infective(opportunistic) Bacterium paratyphosum A | Infection, infected, infective(opportunistic) Parastrongylus paratyphoid Type A | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) paratyphi A
A01.2	Paratyphoid fever B		Fever(inanition) (of unknown origin) (persistent) (with chills) (with rigor) paratyphoid B | Infection, infected, infective(opportunistic) Bacillus paratyphoid, paratyphosus B | Infection, infected, infective(opportunistic) Bacterium paratyphosum B | Infection, infected, infective(opportunistic) Parastrongylus paratyphoid Type B | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) paratyphi B | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) schottmuelleri
A01.3	Paratyphoid fever C		Fever(inanition) (of unknown origin) (persistent) (with chills) (with rigor) paratyphoid C | Infection, infected, infective(opportunistic) Bacillus paratyphoid, paratyphosus C | Infection, infected, infective(opportunistic) Bacterium paratyphosum C | Infection, infected, infective(opportunistic) Parastrongylus paratyphoid Type C | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) hirschfeldii | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) paratyphi C
A01.4	Paratyphoid fever, unspecified	Infection due to Salmonella paratyphi NOS	Arthritis, arthritic(acute) (chronic) (nonpyogenic) (subacute) due to or associated with paratyphoid fever(see also category M01) | Arthritis, arthritic(acute) (chronic) (nonpyogenic) (subacute) in(due to) paratyphoid fever | Cholecystitis paratyphoidal, current | Fever(inanition) (of unknown origin) (persistent) (with chills) (with rigor) paratyphoid | Infection, infected, infective(opportunistic) Bacillus paratyphoid, paratyphosus | Infection, infected, infective(opportunistic) Bacterium paratyphosum | Infection, infected, infective(opportunistic) Parastrongylus paratyphoid | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) paratyphi | Schottmuller's disease
A02.0	Salmonella enteritis	Salmonellosis	Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Salmonella | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) aertrycke infection | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Arizona(bacillus) | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) Salmonella, salmonellosis(arizonae) (cholerae-suis) (enteritidis) (typhimurium) | Gastroenteritis(acute) (chronic) (noninfectious) Salmonella | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) with (gastro)enteritis | Intoxication foodborne due to Salmonella with (gastro)enteritis | Poisoning(acute) food NEC due to salmonella(aertrycke) (choleraesuis) (enteritidis) (gallinarum) (paratyphi) (suipestifer) with gastroenteritis | Salmonellosis
A02.1	Salmonella sepsis		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) with sepsis | Intoxication foodborne due to Salmonella with sepsis | Poisoning(acute) food NEC due to salmonella(aertrycke) (choleraesuis) (enteritidis) (gallinarum) (paratyphi) (suipestifer) with sepsis | Sepsis(generalized) (unspecified organism) Salmonella(arizonae) (cholerae-suis) (enteritidis) (typhimurium)
A02.20	Localized salmonella infection, unspecified		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized | Intoxication foodborne due to Salmonella with localized infection(s)
A02.21	Salmonella meningitis		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized meningitis | Intoxication foodborne due to Salmonella with localized infection(s) meningitis | Meningitis(basal) (basic) (brain) (cerebral) (cervical) (congestive) (diffuse) (hemorrhagic) (infantile) (membranous) (metastatic) (nonspecific) (pontine) (progressive) (simple) (spinal) (subacute) (sympathetic) (toxic) in(due to) Salmonella infection | Meningitis(basal) (basic) (brain) (cerebral) (cervical) (congestive) (diffuse) (hemorrhagic) (infantile) (membranous) (metastatic) (nonspecific) (pontine) (progressive) (simple) (spinal) (subacute) (sympathetic) (toxic) Salmonella(arizonae) (Cholerae-Suis) (enteritidis) (typhimurium)
A02.22	Salmonella pneumonia		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized pneumonia | Intoxication foodborne due to Salmonella with localized infection(s) pneumonia | Pneumonia(acute) (double) (migratory) (purulent) (septic) (unresolved) in(due to) Salmonella(infection) | Pneumonia(acute) (double) (migratory) (purulent) (septic) (unresolved) Salmonella(arizonae) (cholerae-suis) (enteritidis) (typhimurium)
A02.23	Salmonella arthritis		Arthritis, arthritic(acute) (chronic) (nonpyogenic) (subacute) in(due to) Salmonella(arizonae) (cholerae-suis) (enteritidis) (typhimurium) | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized arthritis | Intoxication foodborne due to Salmonella with localized infection(s) arthritis
